Химки
Время 		Угл места 
52212.9		0.00131347
52213.9		0.00236077
52214.9		0.00341032
52215.9		0.00446212
52216.9		0.00551619
52217.9		0.00657254
52218.9		0.00763119
52219.9		0.00869216
52220.9		0.00975545
52221.9		0.0108211
52222.9		0.0118891
52223.9		0.0129594
52224.9		0.0140322
52225.9		0.0151074
52226.9		0.0161849
52227.9		0.0172649
52228.9		0.0183474
52229.9		0.0194323
52230.9		0.0205197
52231.9		0.0216096
52232.9		0.0227021
52233.9		0.023797
52234.9		0.0248945
52235.9		0.0259946
52236.9		0.0270972
52237.9		0.0282024
52238.9		0.0293103
52239.9		0.0304208
52240.9		0.0315339
52241.9		0.0326497
52242.9		0.0337682
52243.9		0.0348894
52244.9		0.0360133
52245.9		0.0371399
52246.9		0.0382693
52247.9		0.0394015
52248.9		0.0405364
52249.9		0.0416742
52250.9		0.0428148
52251.9		0.0439582
52252.9		0.0451045
52253.9		0.0462537
52254.9		0.0474058
52255.9		0.0485608
52256.9		0.0497188
52257.9		0.0508797
52258.9		0.0520436
52259.9		0.0532105
52260.9		0.0543805
52261.9		0.0555535
52262.9		0.0567295
52263.9		0.0579087
52264.9		0.0590909
52265.9		0.0602763
52266.9		0.0614648
52267.9		0.0626565
52268.9		0.0638514
52269.9		0.0650495
52270.9		0.0662508
52271.9		0.0674554
52272.9		0.0686633
52273.9		0.0698744
52274.9		0.0710889
52275.9		0.0723068
52276.9		0.073528
52277.9		0.0747526
52278.9		0.0759807
52279.9		0.0772122
52280.9		0.0784471
52281.9		0.0796855
52282.9		0.0809275
52283.9		0.082173
52284.9		0.083422
52285.9		0.0846747
52286.9		0.0859309
52287.9		0.0871908
52288.9		0.0884544
52289.9		0.0897216
52290.9		0.0909926
52291.9		0.0922673
52292.9		0.0935457
52293.9		0.094828
52294.9		0.0961141
52295.9		0.097404
52296.9		0.0986978
52297.9		0.0999955
52298.9		0.101297
52299.9		0.102603
52300.9		0.103912
52301.9		0.105226
52302.9		0.106544
52303.9		0.107865
52304.9		0.109191
52305.9		0.110521
52306.9		0.111855
52307.9		0.113193
52308.9		0.114536
52309.9		0.115883
52310.9		0.117234
52311.9		0.118589
52312.9		0.119949
52313.9		0.121313
52314.9		0.122681
52315.9		0.124054
52316.9		0.125431
52317.9		0.126813
52318.9		0.1282
